date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,f/m,1329,309,1329,5,13
2021-02-25,f/m,1297,261,1297,6,17
2021-02-24,f/m,1338,342,1338,4,14
2021-02-23,f/m,1420,360,1420,12,30
2021-02-22,f/m,1562,347,1562,3,19
2021-02-21,f/m,1698,386,1698,7,28
2021-02-20,f/m,1693,355,1693,5,30
2021-02-19,f/m,1714,424,1714,8,27
2021-02-18,f/m,1636,423,1636,4,24
2021-02-17,f/m,1567,365,1567,6,21
2021-02-16,f/m,1808,391,1808,4,30
2021-02-15,f/m,1962,420,1962,7,21
2021-02-14,f/m,2531,486,2531,5,31
2021-02-13,f/m,1716,393,1716,5,25
2021-02-12,f/m,1489,322,1489,1,24
2021-02-11,f/m,1515,340,1515,7,24
2021-02-10,f/m,1515,341,1515,4,28
2021-02-09,f/m,1473,379,1473,6,29
2021-02-08,f/m,1536,359,1536,6,31
2021-02-07,f/m,1545,361,1545,7,19
2021-02-06,f/m,1405,316,1405,5,18
2021-02-05,f/m,1347,308,1347,5,14
2021-02-04,f/m,1348,338,1348,9,26
2021-02-03,f/m,1320,290,1320,8,18
2021-02-02,f/m,1393,329,1393,10,19
2021-02-01,f/m,1588,394,1588,8,22
2021-01-31,f/m,1673,361,1673,9,26
2021-01-30,f/m,1428,316,1428,2,11
2021-01-29,f/m,1321,315,1321,1,25
2021-01-28,f/m,1274,306,1274,5,18
2021-01-27,f/m,1350,312,1350,9,22
2021-01-26,f/m,1353,322,1353,9,27
2021-01-25,f/m,1507,372,1507,8,30
2021-01-24,f/m,1399,313,1399,0,17
2021-01-23,f/m,1346,342,1346,7,24
2021-01-22,f/m,1276,314,1276,2,27
2021-01-21,f/m,1245,328,1245,6,32
2021-01-20,f/m,1344,317,1344,4,19
2021-01-19,f/m,1424,331,1424,2,22
2021-01-18,f/m,1459,378,1459,8,24
2021-01-17,f/m,1327,331,1327,13,22
2021-01-16,f/m,1302,318,1302,5,25
2021-01-15,f/m,1290,331,1290,5,27
2021-01-14,f/m,1271,314,1271,4,17
2021-01-13,f/m,1185,295,1185,5,28
2021-01-12,f/m,1225,324,1225,8,27
2021-01-11,f/m,1387,348,1387,9,30
2021-01-10,f/m,1466,345,1466,6,13
2021-01-09,f/m,1249,282,1249,4,14
2021-01-08,f/m,1182,260,1182,2,14
2021-01-07,f/m,1203,273,1203,4,15
2021-01-06,f/m,1311,302,1311,7,27
2021-01-05,f/m,1290,297,1290,5,21
2021-01-04,f/m,1491,376,1491,6,26
2021-01-03,f/m,1489,398,1489,4,32
2021-01-02,f/m,1587,358,1587,4,25
2021-01-01,f/m,1683,385,1683,6,20
2020-12-31,f/m,1713,361,1713,11,30
2020-12-30,f/m,1548,349,1548,6,19
2020-12-29,f/m,1473,337,1473,4,18
2020-12-28,f/m,1462,346,1462,9,32
2020-12-27,f/m,1514,332,1514,7,25
2020-12-26,f/m,1512,332,1512,3,17
2020-12-25,f/m,1748,374,1748,4,25
2020-12-24,f/m,1858,397,1858,4,24
2020-12-23,f/m,1553,309,1553,7,26
2020-12-22,f/m,1488,362,1488,5,19
2020-12-21,f/m,1542,376,1542,1,26
2020-12-20,f/m,1586,345,1586,3,18
2020-12-19,f/m,1468,299,1468,2,24
2020-12-18,f/m,1596,314,1596,7,22
2020-12-17,f/m,1313,289,1313,10,23
2020-12-16,f/m,1246,269,1246,3,20
2020-12-15,f/m,1265,271,1265,4,19
2020-12-14,f/m,1326,299,1326,5,24
2020-12-13,f/m,1377,303,1377,4,20
2020-12-12,f/m,1198,282,1198,8,20
2020-12-11,f/m,1103,248,1103,4,17
2020-12-10,f/m,1088,263,1088,6,26
2020-12-09,f/m,1123,267,1123,4,21
2020-12-08,f/m,1295,317,1295,3,21
2020-12-07,f/m,1279,324,1279,8,33
2020-12-06,f/m,1269,307,1269,3,25
2020-12-05,f/m,1224,274,1224,1,18
2020-12-04,f/m,1166,272,1166,0,21
2020-12-03,f/m,1123,266,1123,4,22
2020-12-02,f/m,1200,306,1200,4,22
2020-12-01,f/m,1392,356,1392,8,19
2020-11-30,f/m,1356,355,1356,8,25
2020-11-29,f/m,1327,338,1327,4,27
2020-11-28,f/m,1146,296,1146,9,26
2020-11-27,f/m,1137,280,1137,4,22
2020-11-26,f/m,1134,293,1134,6,15
2020-11-25,f/m,1128,280,1128,5,19
2020-11-24,f/m,1110,272,1110,2,18
2020-11-23,f/m,1176,297,1176,5,20
2020-11-22,f/m,1232,303,1232,8,24
2020-11-21,f/m,1064,277,1064,4,14
2020-11-20,f/m,1087,279,1087,1,19
2020-11-19,f/m,1010,215,1010,4,14
2020-11-18,f/m,1085,266,1085,4,18
2020-11-17,f/m,1019,246,1019,2,14
2020-11-16,f/m,1252,283,1252,7,22
2020-11-15,f/m,1271,314,1271,6,27
2020-11-14,f/m,1129,254,1129,6,15
2020-11-13,f/m,1102,262,1102,4,17
2020-11-12,f/m,1132,275,1132,5,18
2020-11-11,f/m,1118,279,1118,5,14
2020-11-10,f/m,1213,292,1213,2,19
2020-11-09,f/m,1272,327,1272,5,26
2020-11-08,f/m,1328,311,1328,5,20
2020-11-07,f/m,1177,281,1177,5,25
2020-11-06,f/m,1062,216,1062,1,10
2020-11-05,f/m,1173,287,1173,3,21
2020-11-04,f/m,1074,262,1074,6,22
2020-11-03,f/m,1159,249,1159,7,13
2020-11-02,f/m,1284,297,1284,4,21
2020-11-01,f/m,1479,328,1479,7,13
2020-10-31,f/m,1623,365,1623,9,19
2020-10-30,f/m,1172,258,1172,3,12
2020-10-29,f/m,1170,253,1170,3,20
2020-10-28,f/m,1125,263,1125,4,19
2020-10-27,f/m,1223,288,1223,8,24
2020-10-26,f/m,1264,287,1264,8,21
2020-10-25,f/m,1346,281,1346,5,13
2020-10-24,f/m,1129,276,1129,7,22
2020-10-23,f/m,1128,244,1128,3,21
2020-10-22,f/m,1161,284,1161,1,19
2020-10-21,f/m,1244,271,1244,3,17
2020-10-20,f/m,1252,284,1252,6,20
2020-10-19,f/m,1274,280,1274,5,23
2020-10-18,f/m,1308,274,1308,7,21
2020-10-17,f/m,1241,249,1241,5,22
2020-10-16,f/m,1199,250,1199,3,18
2020-10-15,f/m,1180,261,1180,5,16
2020-10-14,f/m,1133,253,1133,5,21
2020-10-13,f/m,1149,250,1149,8,11
2020-10-12,f/m,1239,269,1239,5,25
2020-10-11,f/m,1339,320,1339,7,24
2020-10-10,f/m,1204,243,1204,4,18
2020-10-09,f/m,1165,254,1165,3,23
2020-10-08,f/m,1123,264,1123,3,16
2020-10-07,f/m,1141,270,1141,3,15
2020-10-06,f/m,1287,251,1287,4,9
2020-10-05,f/m,1270,294,1270,4,26
2020-10-04,f/m,1439,331,1439,3,30
2020-10-03,f/m,1324,284,1324,5,32
2020-10-02,f/m,1375,354,1375,6,15
2020-10-01,f/m,1452,434,1452,9,17
2020-09-30,f/m,1111,298,1111,6,25
2020-09-29,f/m,1092,257,1092,3,23
2020-09-28,f/m,1109,235,1109,6,19
2020-09-27,f/m,1180,276,1180,4,20
2020-09-26,f/m,1086,251,1086,6,15
2020-09-25,f/m,1020,246,1020,4,14
2020-09-24,f/m,971,239,971,3,15
2020-09-23,f/m,1036,256,1036,4,16
2020-09-22,f/m,1119,229,1119,4,16
2020-09-21,f/m,1099,242,1099,2,9
2020-09-20,f/m,1179,265,1179,6,22
2020-09-19,f/m,1056,283,1056,4,15
2020-09-18,f/m,1038,263,1038,3,7
2020-09-17,f/m,1035,260,1035,4,19
2020-09-16,f/m,1081,245,1081,4,17
2020-09-15,f/m,1103,230,1103,2,18
2020-09-14,f/m,1124,245,1124,4,16
2020-09-13,f/m,1285,267,1285,3,18
2020-09-12,f/m,1251,262,1251,6,23
2020-09-11,f/m,1110,242,1110,4,10
2020-09-10,f/m,1002,234,1002,3,13
2020-09-09,f/m,1038,244,1038,1,12
2020-09-08,f/m,1087,272,1087,6,20
2020-09-07,f/m,1216,270,1216,5,16
2020-09-06,f/m,1280,308,1280,6,24
2020-09-05,f/m,1150,261,1150,3,23
2020-09-04,f/m,1153,253,1153,2,18
2020-09-03,f/m,1169,272,1169,7,22
2020-09-02,f/m,1123,276,1123,9,21
2020-09-01,f/m,1185,277,1185,3,20
2020-08-31,f/m,1300,300,1300,2,14
