date,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,3786,2198,1140,25,47
2021-02-25,4004,2381,1136,26,85
2021-02-24,4215,2599,1115,25,89
2021-02-23,4498,2702,1285,55,109
2021-02-22,5028,3076,1230,39,98
2021-02-21,5224,3284,1437,32,108
2021-02-20,5092,3110,1486,23,102
2021-02-19,5046,3095,1443,28,63
2021-02-18,4910,3113,1377,28,92
2021-02-17,4840,3033,1412,25,100
2021-02-16,5354,3289,1543,24,122
2021-02-15,6779,4351,1877,40,128
2021-02-14,9506,6322,2516,84,161
2021-02-13,5648,3574,1508,38,118
2021-02-12,4766,2969,1238,25,76
2021-02-11,4722,2927,1288,47,86
2021-02-10,4799,2926,1265,19,120
2021-02-09,4792,3041,1273,22,135
2021-02-08,5226,3335,1339,24,110
2021-02-07,5279,3326,1360,52,85
2021-02-06,4736,3047,1252,27,94
2021-02-05,4610,2905,1166,21,75
2021-02-04,4623,2858,1318,26,107
2021-02-03,4556,2900,1153,27,76
2021-02-02,4786,2966,1218,39,143
2021-02-01,5747,3627,1569,56,156
2021-01-31,5279,3290,1424,23,122
2021-01-30,4976,3101,1244,42,77
2021-01-29,4680,2940,1208,18,104
2021-01-28,4436,2699,1136,16,67
2021-01-27,4575,2721,1269,27,87
2021-01-26,4596,2783,1221,28,105
2021-01-25,4882,3006,1439,27,114
2021-01-24,4933,3167,1235,30,80
2021-01-23,4766,2954,1375,36,87
2021-01-22,4294,2601,1150,34,98
2021-01-21,4550,2960,1157,25,106
2021-01-20,4391,2744,1191,34,82
2021-01-19,4592,2774,1271,14,118
2021-01-18,4963,3094,1424,20,115
2021-01-17,4800,3044,1224,35,89
2021-01-16,4409,2739,1191,46,69
2021-01-15,4311,2580,1132,35,84
2021-01-14,4347,2575,1235,38,75
2021-01-13,4197,2595,1093,29,90
2021-01-12,4358,2692,1132,25,101
2021-01-11,4802,2924,1370,37,122
2021-01-10,5128,3238,1381,34,123
2021-01-09,4324,2733,1069,21,77
2021-01-08,4309,2644,1089,26,69
2021-01-07,4358,2691,1137,22,114
2021-01-06,4588,2773,1256,39,113
2021-01-05,4206,2584,1143,29,74
2021-01-04,5130,3228,1467,36,118
2021-01-03,5239,3300,1506,34,133
2021-01-02,5337,3275,1539,13,127
2021-01-01,5904,3755,1558,30,101
2020-12-31,5985,3789,1595,42,93
2020-12-30,5293,3394,1461,23,103
2020-12-29,5248,3332,1359,35,120
2020-12-28,5474,3386,1513,30,111
2020-12-27,5365,3425,1461,27,113
2020-12-26,5704,3662,1534,34,113
2020-12-25,7230,4851,1781,35,98
2020-12-24,7275,4930,1798,34,107
2020-12-23,5701,3630,1509,64,119
2020-12-22,5361,3493,1409,48,98
2020-12-21,5589,3617,1498,21,127
2020-12-20,5439,3515,1375,31,97
2020-12-19,4846,3163,1213,46,106
2020-12-18,4700,2949,1278,55,146
2020-12-17,4528,2822,1240,36,136
2020-12-16,4584,2855,1212,43,142
2020-12-15,4524,2742,1208,23,93
2020-12-14,4752,2944,1242,44,125
2020-12-13,4927,3120,1387,19,108
2020-12-12,4187,2557,1158,39,104
2020-12-11,4094,2496,1166,23,94
2020-12-10,4011,2497,1098,36,96
2020-12-09,4041,2541,1071,27,84
2020-12-08,4311,2623,1258,17,104
2020-12-07,4654,2901,1220,30,85
2020-12-06,4487,2821,1194,50,109
2020-12-05,4265,2733,1220,39,108
2020-12-04,4222,2690,1126,29,105
2020-12-03,4029,2462,1165,16,77
2020-12-02,4446,2879,1202,43,85
2020-12-01,4942,3210,1360,24,87
2020-11-30,4528,2814,1340,48,105
2020-11-29,4616,3028,1194,38,124
2020-11-28,3947,2501,1088,38,105
2020-11-27,3699,2335,994,37,101
2020-11-26,3941,2592,1048,46,107
2020-11-25,3948,2504,1036,28,84
2020-11-24,3644,2298,1021,13,94
2020-11-23,3958,2509,1112,39,105
2020-11-22,4218,2682,1187,37,81
2020-11-21,3632,2340,1001,17,87
2020-11-20,3511,2209,996,15,69
2020-11-19,3607,2367,907,31,84
2020-11-18,3794,2377,986,28,97
2020-11-17,3855,2448,955,20,76
2020-11-16,4042,2564,1079,34,75
2020-11-15,4113,2674,1122,20,60
2020-11-14,3715,2386,991,26,84
2020-11-13,3567,2344,987,36,105
2020-11-12,3632,2298,958,25,59
2020-11-11,3742,2457,966,38,82
2020-11-10,3630,2269,1011,20,86
2020-11-09,4003,2476,1128,29,106
2020-11-08,3937,2553,1065,38,97
2020-11-07,3845,2381,1049,39,74
2020-11-06,3441,2109,1008,24,66
2020-11-05,3697,2325,1095,34,98
2020-11-04,3646,2311,931,41,68
2020-11-03,3957,2487,1036,19,49
2020-11-02,4318,2707,1116,34,61
2020-11-01,5028,3088,1434,29,53
