date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,m/m,2159,2159,255,11,23
2021-02-25,m/m,2165,2165,212,12,37
2021-02-24,m/m,2342,2342,273,14,42
2021-02-23,m/m,2569,2569,309,17,48
2021-02-22,m/m,2814,2814,277,13,49
2021-02-21,m/m,2930,2930,324,20,54
2021-02-20,m/m,3055,3055,306,15,48
2021-02-19,m/m,2926,2926,364,9,44
2021-02-18,m/m,2750,2750,366,16,48
2021-02-17,m/m,2698,2698,302,15,52
2021-02-16,m/m,2905,2905,314,12,57
2021-02-15,m/m,3706,3706,361,18,55
2021-02-14,m/m,5102,5102,388,42,78
2021-02-13,m/m,3221,3221,322,18,47
2021-02-12,m/m,2586,2586,266,16,47
2021-02-11,m/m,2500,2500,292,16,37
2021-02-10,m/m,2607,2607,266,18,44
2021-02-09,m/m,2572,2572,312,14,53
2021-02-08,m/m,2876,2876,295,18,50
2021-02-07,m/m,2853,2853,288,25,43
2021-02-06,m/m,2654,2654,252,15,49
2021-02-05,m/m,2521,2521,266,15,43
2021-02-04,m/m,2380,2380,281,17,50
2021-02-03,m/m,2420,2420,236,19,39
2021-02-02,m/m,2558,2558,259,15,53
2021-02-01,m/m,2899,2899,329,22,56
2021-01-31,m/m,3008,3008,309,12,56
2021-01-30,m/m,2776,2776,241,11,33
2021-01-29,m/m,2584,2584,250,11,44
2021-01-28,m/m,2436,2436,263,12,36
2021-01-27,m/m,2336,2336,257,24,44
2021-01-26,m/m,2401,2401,259,17,49
2021-01-25,m/m,2700,2700,309,12,50
2021-01-24,m/m,2843,2843,264,14,47
2021-01-23,m/m,2656,2656,282,9,48
2021-01-22,m/m,2331,2331,252,16,46
2021-01-21,m/m,2475,2475,267,26,58
2021-01-20,m/m,2369,2369,270,19,34
2021-01-19,m/m,2331,2331,262,11,40
2021-01-18,m/m,2515,2515,312,16,61
2021-01-17,m/m,2627,2627,274,31,49
2021-01-16,m/m,2377,2377,248,24,34
2021-01-15,m/m,2256,2256,277,18,45
2021-01-14,m/m,2307,2307,257,17,46
2021-01-13,m/m,2234,2234,262,21,56
2021-01-12,m/m,2319,2319,278,15,60
2021-01-11,m/m,2487,2487,280,17,60
2021-01-10,m/m,2709,2709,291,17,42
2021-01-09,m/m,2339,2339,218,13,33
2021-01-08,m/m,2219,2219,229,15,48
2021-01-07,m/m,2292,2292,238,10,41
2021-01-06,m/m,2320,2320,263,20,65
2021-01-05,m/m,2333,2333,250,17,41
2021-01-04,m/m,2756,2756,324,22,56
2021-01-03,m/m,2829,2829,319,21,61
2021-01-02,m/m,2937,2937,295,17,60
2021-01-01,m/m,3265,3265,312,17,52
2020-12-31,m/m,3336,3336,301,25,51
2020-12-30,m/m,2812,2812,277,11,52
2020-12-29,m/m,2791,2791,284,22,45
2020-12-28,m/m,2835,2835,301,21,52
2020-12-27,m/m,2884,2884,278,15,54
2020-12-26,m/m,2929,2929,276,10,44
2020-12-25,m/m,3726,3726,301,20,50
2020-12-24,m/m,3785,3785,352,14,51
2020-12-23,m/m,2946,2946,244,25,57
2020-12-22,m/m,2880,2880,310,21,47
2020-12-21,m/m,3002,3002,331,16,61
2020-12-20,m/m,2940,2940,290,18,43
2020-12-19,m/m,2570,2570,253,21,48
2020-12-18,m/m,2526,2526,262,27,51
2020-12-17,m/m,2511,2511,232,12,51
2020-12-16,m/m,2442,2442,220,19,42
2020-12-15,m/m,2338,2338,212,11,46
2020-12-14,m/m,2481,2481,259,21,51
2020-12-13,m/m,2747,2747,255,14,43
2020-12-12,m/m,2179,2179,241,17,35
2020-12-11,m/m,2113,2113,221,17,41
2020-12-10,m/m,2183,2183,219,18,45
2020-12-09,m/m,2213,2213,220,13,41
2020-12-08,m/m,2334,2334,276,12,34
2020-12-07,m/m,2497,2497,290,14,48
2020-12-06,m/m,2584,2584,271,11,45
2020-12-05,m/m,2304,2304,221,15,50
2020-12-04,m/m,2166,2166,231,11,43
2020-12-03,m/m,2118,2118,218,9,34
2020-12-02,m/m,2316,2316,272,16,37
2020-12-01,m/m,2620,2620,302,15,38
2020-11-30,m/m,2468,2468,303,30,56
2020-11-29,m/m,2596,2596,291,24,49
2020-11-28,m/m,2264,2264,256,24,40
2020-11-27,m/m,2129,2129,231,19,42
2020-11-26,m/m,2083,2083,240,17,48
2020-11-25,m/m,2109,2109,240,14,44
2020-11-24,m/m,1984,1984,232,7,37
2020-11-23,m/m,2252,2252,259,10,58
2020-11-22,m/m,2307,2307,255,18,53
2020-11-21,m/m,2138,2138,239,10,37
2020-11-20,m/m,2079,2079,242,6,36
2020-11-19,m/m,2027,2027,196,15,35
2020-11-18,m/m,2116,2116,229,10,50
2020-11-17,m/m,2041,2041,211,12,31
2020-11-16,m/m,2196,2196,234,15,39
2020-11-15,m/m,2283,2283,279,15,48
2020-11-14,m/m,2022,2022,218,16,38
2020-11-13,m/m,1934,1934,227,18,39
2020-11-12,m/m,2005,2005,217,14,40
2020-11-11,m/m,2228,2228,243,20,45
