date,tag,count
2021-02-26,fluff,1314
2021-02-25,fluff,1427
2021-02-24,fluff,1507
2021-02-23,fluff,1589
2021-02-22,fluff,1801
2021-02-21,fluff,1829
2021-02-20,fluff,1759
2021-02-19,fluff,1815
2021-02-18,fluff,1755
2021-02-17,fluff,1769
2021-02-16,fluff,2072
2021-02-15,fluff,2788
2021-02-14,fluff,4418
2021-02-13,fluff,2218
2021-02-12,fluff,1757
2021-02-11,fluff,1693
2021-02-10,fluff,1803
2021-02-09,fluff,1758
2021-02-08,fluff,1941
2021-02-07,fluff,1927
2021-02-06,fluff,1701
2021-02-05,fluff,1667
2021-02-04,fluff,1665
2021-02-03,fluff,1684
2021-02-02,fluff,1680
2021-02-01,fluff,1998
2021-01-31,fluff,1773
2021-01-30,fluff,1666
2021-01-29,fluff,1632
2021-01-28,fluff,1619
2021-01-27,fluff,1624
2021-01-26,fluff,1636
2021-01-25,fluff,1697
2021-01-24,fluff,1762
2021-01-23,fluff,1660
2021-01-22,fluff,1463
2021-01-21,fluff,1612
2021-01-20,fluff,1537
2021-01-19,fluff,1649
2021-01-18,fluff,1764
2021-01-17,fluff,1665
2021-01-16,fluff,1563
2021-01-15,fluff,1538
2021-01-14,fluff,1631
2021-01-13,fluff,1471
2021-01-12,fluff,1553
2021-01-11,fluff,1704
2021-01-10,fluff,1855
2021-01-09,fluff,1521
2021-01-08,fluff,1463
2021-01-07,fluff,1573
2021-01-06,fluff,1601
2021-01-05,fluff,1488
2021-01-04,fluff,1780
2021-01-03,fluff,1854
2021-01-02,fluff,2006
2021-01-01,fluff,2368
2020-12-31,fluff,2487
2020-12-30,fluff,2019
2020-12-29,fluff,1996
2020-12-28,fluff,2110
2020-12-27,fluff,2142
2020-12-26,fluff,2478
2020-12-25,fluff,3571
2020-12-24,fluff,3656
2020-12-23,fluff,2529
2020-12-22,fluff,2260
2020-12-21,fluff,2280
2020-12-20,fluff,2231
2020-12-19,fluff,1921
2020-12-18,fluff,1853
2020-12-17,fluff,1831
2020-12-16,fluff,1819
2020-12-15,fluff,1858
2020-12-14,fluff,1913
2020-12-13,fluff,1990
2020-12-12,fluff,1650
2020-12-11,fluff,1595
2020-12-10,fluff,1583
2020-12-09,fluff,1591
2020-12-08,fluff,1690
2020-12-07,fluff,1807
2020-12-06,fluff,1739
2020-12-05,fluff,1641
2020-12-04,fluff,1669
2020-12-03,fluff,1581
2020-12-02,fluff,1853
2020-12-01,fluff,2054
2020-11-30,fluff,1733
2020-11-29,fluff,1742
