date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,slow burn,123,62,59,0,1
2021-02-25,slow burn,132,80,59,1,5
2021-02-24,slow burn,169,127,56,1,5
2021-02-23,slow burn,182,122,78,4,4
2021-02-22,slow burn,183,134,64,1,8
2021-02-21,slow burn,227,148,82,1,10
2021-02-20,slow burn,204,116,91,2,6
2021-02-19,slow burn,179,110,85,0,2
2021-02-18,slow burn,178,112,75,1,5
2021-02-17,slow burn,173,105,78,1,4
2021-02-16,slow burn,205,119,90,1,6
2021-02-15,slow burn,191,114,90,3,9
2021-02-14,slow burn,220,143,88,1,6
2021-02-13,slow burn,180,115,75,1,4
2021-02-12,slow burn,169,109,80,0,4
2021-02-11,slow burn,177,99,89,2,8
2021-02-10,slow burn,184,118,83,4,5
2021-02-09,slow burn,204,126,90,0,6
2021-02-08,slow burn,189,121,85,1,8
2021-02-07,slow burn,185,118,77,4,6
2021-02-06,slow burn,197,147,73,2,9
2021-02-05,slow burn,164,112,70,0,7
2021-02-04,slow burn,171,107,73,4,7
2021-02-03,slow burn,198,115,93,1,5
2021-02-02,slow burn,203,139,77,1,10
2021-02-01,slow burn,199,129,73,1,12
2021-01-31,slow burn,204,133,80,1,12
2021-01-30,slow burn,167,114,59,1,3
2021-01-29,slow burn,155,110,55,0,9
2021-01-28,slow burn,187,121,81,1,3
2021-01-27,slow burn,156,91,73,1,4
2021-01-26,slow burn,170,101,70,0,5
2021-01-25,slow burn,177,102,87,0,7
2021-01-24,slow burn,180,117,75,1,6
2021-01-23,slow burn,167,120,64,0,6
2021-01-22,slow burn,165,99,77,5,10
2021-01-21,slow burn,182,122,74,2,8
2021-01-20,slow burn,158,92,71,2,11
2021-01-19,slow burn,201,134,81,0,6
2021-01-18,slow burn,206,143,90,2,8
2021-01-17,slow burn,173,117,72,6,11
2021-01-16,slow burn,176,117,75,1,4
2021-01-15,slow burn,187,132,70,2,9
2021-01-14,slow burn,174,111,65,0,2
2021-01-13,slow burn,184,123,76,1,10
2021-01-12,slow burn,183,125,77,3,16
2021-01-11,slow burn,184,115,81,1,12
2021-01-10,slow burn,217,154,82,5,8
2021-01-09,slow burn,162,99,66,1,5
2021-01-08,slow burn,153,103,57,2,7
2021-01-07,slow burn,177,112,78,0,7
2021-01-06,slow burn,178,118,72,3,5
2021-01-05,slow burn,182,120,78,2,7
2021-01-04,slow burn,203,138,87,3,8
2021-01-03,slow burn,221,156,84,3,11
2021-01-02,slow burn,228,163,81,0,8
2021-01-01,slow burn,202,144,72,0,9
2020-12-31,slow burn,197,127,80,1,10
2020-12-30,slow burn,200,141,82,1,10
2020-12-29,slow burn,177,128,58,1,8
2020-12-28,slow burn,196,143,68,5,13
2020-12-27,slow burn,172,121,59,0,13
2020-12-26,slow burn,160,101,73,0,6
2020-12-25,slow burn,136,102,52,2,8
2020-12-24,slow burn,168,122,56,2,6
2020-12-23,slow burn,175,115,58,4,6
2020-12-22,slow burn,156,111,51,0,8
2020-12-21,slow burn,176,131,54,0,12
2020-12-20,slow burn,182,122,72,2,4
2020-12-19,slow burn,150,101,50,1,7
2020-12-18,slow burn,158,105,68,1,8
2020-12-17,slow burn,135,81,61,2,7
2020-12-16,slow burn,151,91,55,5,10
2020-12-15,slow burn,141,86,62,4,3
2020-12-14,slow burn,168,108,62,4,8
2020-12-13,slow burn,172,114,72,3,11
2020-12-12,slow burn,135,75,64,1,9
2020-12-11,slow burn,127,88,53,0,8
2020-12-10,slow burn,143,95,56,3,4
2020-12-09,slow burn,123,86,52,0,8
2020-12-08,slow burn,153,100,63,0,10
2020-12-07,slow burn,160,108,59,2,5
2020-12-06,slow burn,136,102,48,4,5
2020-12-05,slow burn,130,97,42,2,6
2020-12-04,slow burn,125,82,49,0,8
2020-12-03,slow burn,131,86,51,3,7
2020-12-02,slow burn,146,105,55,2,2
2020-12-01,slow burn,185,138,61,1,7
2020-11-30,slow burn,174,115,76,5,13
2020-11-29,slow burn,171,113,68,1,11
2020-11-28,slow burn,156,112,52,3,6
2020-11-27,slow burn,138,95,46,1,4
2020-11-26,slow burn,133,93,61,1,7
2020-11-25,slow burn,131,78,59,1,3
2020-11-24,slow burn,129,77,54,0,4
2020-11-23,slow burn,158,109,55,1,7
2020-11-22,slow burn,179,116,80,2,2
2020-11-21,slow burn,125,85,46,0,3
2020-11-20,slow burn,143,97,59,0,8
2020-11-19,slow burn,122,77,44,1,3
2020-11-18,slow burn,143,97,58,2,7
2020-11-17,slow burn,141,99,58,1,7
2020-11-16,slow burn,157,109,61,3,8
2020-11-15,slow burn,150,110,51,2,5
2020-11-14,slow burn,127,81,56,0,4
2020-11-13,slow burn,130,87,49,2,7
2020-11-12,slow burn,121,76,46,0,5
2020-11-11,slow burn,132,86,53,0,5
2020-11-10,slow burn,111,80,49,0,6
2020-11-09,slow burn,138,92,57,2,6
2020-11-08,slow burn,144,96,51,1,5
2020-11-07,slow burn,130,85,52,7,5
2020-11-06,slow burn,118,74,50,3,6
2020-11-05,slow burn,110,60,54,1,6
2020-11-04,slow burn,106,64,44,0,4
2020-11-03,slow burn,134,85,50,1,2
2020-11-02,slow burn,149,107,68,1,4
2020-11-01,slow burn,134,95,45,4,4
2020-10-31,slow burn,148,93,61,1,2
2020-10-30,slow burn,125,86,46,1,3
2020-10-29,slow burn,114,78,52,1,1
2020-10-28,slow burn,109,80,40,0,3
2020-10-27,slow burn,127,95,48,2,7
2020-10-26,slow burn,140,107,51,6,4
2020-10-25,slow burn,130,87,46,3,9
2020-10-24,slow burn,124,80,49,1,4
2020-10-23,slow burn,139,97,50,2,4
2020-10-22,slow burn,118,81,42,0,7
2020-10-21,slow burn,138,95,67,1,5
2020-10-20,slow burn,130,78,60,2,3
2020-10-19,slow burn,154,95,69,2,8
2020-10-18,slow burn,165,113,57,0,9
2020-10-17,slow burn,117,76,53,1,6
2020-10-16,slow burn,121,88,43,2,4
2020-10-15,slow burn,115,75,52,0,4
2020-10-14,slow burn,114,69,51,2,6
2020-10-13,slow burn,135,87,56,2,4
2020-10-12,slow burn,124,91,45,0,5
2020-10-11,slow burn,138,81,67,1,8
2020-10-10,slow burn,148,95,53,1,3
2020-10-09,slow burn,102,65,49,0,10
2020-10-08,slow burn,125,81,59,0,8
2020-10-07,slow burn,118,77,50,0,4
