date,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,45,21,12,45,0
2021-02-25,43,22,7,43,2
2021-02-24,54,28,7,54,12
2021-02-23,74,43,19,74,20
2021-02-22,55,32,13,55,4
2021-02-21,49,35,14,49,10
2021-02-20,50,33,9,50,8
2021-02-19,34,13,10,34,3
2021-02-18,29,22,5,29,3
2021-02-17,28,21,10,28,4
2021-02-16,35,26,8,35,9
2021-02-15,57,42,14,57,8
2021-02-14,125,77,7,125,20
2021-02-13,52,37,7,52,5
2021-02-12,38,30,1,38,8
2021-02-11,42,28,7,42,2
2021-02-10,38,30,8,38,0
2021-02-09,35,19,7,35,2
2021-02-08,52,36,11,52,11
2021-02-07,60,48,18,60,16
2021-02-06,47,42,8,47,9
2021-02-05,40,27,7,40,2
2021-02-04,38,27,15,38,11
2021-02-03,43,28,18,43,3
2021-02-02,45,30,20,45,4
2021-02-01,50,40,10,50,3
2021-01-31,42,27,20,42,3
2021-01-30,47,27,3,47,5
2021-01-29,23,19,1,23,1
2021-01-28,30,22,8,30,2
2021-01-27,52,49,15,52,12
2021-01-26,41,33,16,41,4
2021-01-25,30,17,12,30,5
2021-01-24,34,27,0,34,2
2021-01-23,40,24,10,40,6
2021-01-22,33,22,2,33,6
2021-01-21,50,39,11,50,10
2021-01-20,42,32,4,42,6
2021-01-19,21,15,2,21,2
2021-01-18,43,26,12,43,16
2021-01-17,66,52,19,66,6
2021-01-16,48,38,8,48,9
2021-01-15,44,31,8,44,4
2021-01-14,41,27,5,41,8
2021-01-13,40,25,7,40,1
2021-01-12,46,26,15,46,10
2021-01-11,46,29,16,46,8
2021-01-10,45,28,7,45,3
2021-01-09,24,20,4,24,4
2021-01-08,31,19,4,31,6
2021-01-07,33,17,8,33,1
2021-01-06,54,34,11,54,12
2021-01-05,26,20,5,26,6
2021-01-04,61,39,12,61,4
2021-01-03,53,38,6,53,12
2021-01-02,28,23,4,28,3
2021-01-01,45,28,9,45,3
2020-12-31,69,49,15,69,12
2020-12-30,32,17,9,32,5
2020-12-29,48,34,6,48,4
2020-12-28,45,33,10,45,3
2020-12-27,38,20,9,38,4
2020-12-26,26,15,3,26,3
2020-12-25,38,29,6,38,10
2020-12-24,32,17,5,32,4
2020-12-23,57,43,14,57,8
2020-12-22,62,45,6,62,12
2020-12-21,34,27,1,34,4
2020-12-20,37,26,3,37,6
2020-12-19,44,38,5,44,12
2020-12-18,54,44,13,54,9
2020-12-17,42,20,8,42,3
2020-12-16,37,26,3,37,3
2020-12-15,26,17,4,26,5
2020-12-14,46,27,9,46,9
2020-12-13,31,22,6,31,5
2020-12-12,24,17,8,24,7
2020-12-11,29,21,6,29,2
2020-12-10,40,27,11,40,9
2020-12-09,19,14,5,19,3
2020-12-08,21,15,4,21,0
2020-12-07,31,19,13,31,5
2020-12-06,37,17,4,37,5
2020-12-05,24,23,1,24,2
2020-12-04,22,14,0,22,4
2020-12-03,28,17,7,28,3
2020-12-02,30,21,5,30,1
2020-12-01,35,21,9,35,3
2020-11-30,59,43,13,59,12
2020-11-29,43,35,5,43,9
2020-11-28,45,40,12,45,14
2020-11-27,43,32,7,43,3
2020-11-26,39,28,10,39,6
2020-11-25,37,18,6,37,7
2020-11-24,19,13,3,19,1
2020-11-23,29,15,9,29,3
2020-11-22,51,34,15,51,9
2020-11-21,37,20,6,37,0
2020-11-20,18,17,1,18,4
2020-11-19,31,25,5,31,1
2020-11-18,36,21,6,36,5
2020-11-17,21,19,2,21,0
2020-11-16,41,25,17,41,3
2020-11-15,33,22,9,33,2
2020-11-14,32,24,8,32,3
2020-11-13,32,23,4,32,2
2020-11-12,32,22,9,32,7
2020-11-11,56,39,7,56,1
2020-11-10,28,21,4,28,7
2020-11-09,33,18,5,33,5
2020-11-08,39,27,7,39,3
2020-11-07,31,24,7,31,7
2020-11-06,29,19,1,29,3
2020-11-05,49,29,3,49,6
2020-11-04,34,25,8,34,8
2020-11-03,35,26,9,35,6
2020-11-02,40,30,7,40,4
2020-11-01,56,31,9,56,2
2020-10-31,90,59,16,90,7
2020-10-30,49,29,5,49,1
2020-10-29,68,48,6,68,5
2020-10-28,62,45,6,62,5
2020-10-27,58,36,13,58,4
2020-10-26,51,37,11,51,15
2020-10-25,51,42,8,51,4
2020-10-24,26,13,11,26,2
2020-10-23,28,19,4,28,3
2020-10-22,25,19,1,25,1
2020-10-21,22,14,3,22,2
2020-10-20,32,21,7,32,1
2020-10-19,34,23,8,34,8
2020-10-18,43,23,11,43,6
2020-10-17,26,21,7,26,5
2020-10-16,32,17,3,32,0
2020-10-15,36,31,10,36,7
2020-10-14,40,29,5,40,4
2020-10-13,37,24,10,37,8
2020-10-12,44,37,14,44,13
2020-10-11,51,40,13,51,11
2020-10-10,27,14,6,27,7
2020-10-09,38,28,3,38,5
2020-10-08,55,36,7,55,0
2020-10-07,28,18,4,28,1
2020-10-06,74,60,5,74,4
2020-10-05,47,25,5,47,2
2020-10-04,55,36,6,55,5
2020-10-03,74,55,5,74,5
2020-10-02,46,35,6,46,11
2020-10-01,29,23,10,29,4
2020-09-30,46,23,11,46,3
2020-09-29,27,15,6,27,5
2020-09-28,38,25,12,38,3
2020-09-27,35,17,8,35,2
2020-09-26,33,25,6,33,9
2020-09-25,28,21,4,28,2
2020-09-24,19,17,6,19,5
2020-09-23,25,19,4,25,3
2020-09-22,22,9,6,22,2
2020-09-21,25,23,4,25,2
2020-09-20,50,36,8,50,2
2020-09-19,33,20,4,33,4
2020-09-18,31,24,4,31,1
2020-09-17,37,29,5,37,1
2020-09-16,27,19,5,27,2
2020-09-15,35,29,2,35,1
2020-09-14,21,12,5,21,0
2020-09-13,35,26,3,35,8
2020-09-12,43,30,7,43,8
2020-09-11,16,12,4,16,2
2020-09-10,24,15,3,24,4
2020-09-09,38,31,1,38,4
2020-09-08,33,19,8,33,6
2020-09-07,37,24,7,37,6
2020-09-06,33,24,10,33,4
2020-09-05,42,26,5,42,6
2020-09-04,30,16,3,30,4
2020-09-03,17,14,9,17,4
2020-09-02,53,37,14,53,3
2020-09-01,32,27,6,32,6
2020-08-31,33,21,3,33,5
2020-08-30,35,27,9,35,4
2020-08-29,51,28,6,51,2
2020-08-28,34,22,8,34,3
2020-08-27,25,20,0,25,4
2020-08-26,33,24,1,33,3
2020-08-25,28,21,5,28,1
2020-08-24,59,44,14,59,12
2020-08-23,42,24,8,42,2
2020-08-22,48,25,7,48,1
2020-08-21,20,10,5,20,2
2020-08-20,41,31,13,41,5
2020-08-19,35,25,11,35,6
2020-08-18,24,17,4,24,6
2020-08-17,34,22,12,34,5
2020-08-16,39,20,12,39,9
2020-08-15,38,25,5,38,2
2020-08-14,34,19,7,34,2
2020-08-13,34,23,6,34,2
2020-08-12,31,24,5,31,3
2020-08-11,48,32,4,48,7
2020-08-10,44,28,14,44,6
2020-08-09,33,28,15,33,4
2020-08-08,31,20,8,31,0
2020-08-07,37,23,15,37,4
2020-08-06,20,14,3,20,2
2020-08-05,30,22,6,30,7
2020-08-04,33,18,8,33,5
2020-08-03,55,27,7,55,3
2020-08-02,33,29,6,33,5
2020-08-01,20,11,1,20,2
2020-07-31,39,29,9,39,4
2020-07-30,50,26,12,50,0
2020-07-29,41,28,12,41,1
2020-07-28,35,23,8,35,6
2020-07-27,31,22,6,31,8
2020-07-26,39,22,11,39,2
2020-07-25,36,24,9,36,7
2020-07-24,34,22,13,34,5
2020-07-23,32,22,6,32,1
2020-07-22,24,17,2,24,0
2020-07-21,17,14,5,17,4
2020-07-20,27,22,5,27,2
2020-07-19,23,16,3,23,0
2020-07-18,29,25,3,29,2
2020-07-17,47,29,4,47,10
2020-07-16,33,25,14,33,8
2020-07-15,34,23,9,34,1
2020-07-14,38,23,2,38,3
2020-07-13,38,30,13,38,7
2020-07-12,24,21,11,24,0
2020-07-11,39,23,7,39,4
2020-07-10,30,22,5,30,6
2020-07-09,23,22,2,23,3
2020-07-08,27,18,3,27,3
2020-07-07,33,20,10,33,3
2020-07-06,29,14,11,29,1
2020-07-05,36,21,4,36,0
2020-07-04,40,20,7,40,0
2020-07-03,38,25,4,38,5
2020-07-02,36,25,8,36,10
2020-07-01,46,36,9,46,14
2020-06-30,48,18,9,48,11
2020-06-29,25,14,9,25,5
2020-06-28,47,36,8,47,11
2020-06-27,36,30,10,36,9
2020-06-26,26,23,0,26,7
2020-06-25,53,36,6,53,7
2020-06-24,43,35,7,43,7
2020-06-23,52,43,7,52,9
2020-06-22,44,31,7,44,7
2020-06-21,41,31,9,41,6
2020-06-20,31,20,3,31,6
2020-06-19,34,31,13,34,7
2020-06-18,47,27,9,47,4
2020-06-17,57,33,15,57,8
2020-06-16,49,26,9,49,1
2020-06-15,43,26,8,43,4
2020-06-14,35,22,12,35,12
2020-06-13,31,20,9,31,5
2020-06-12,32,20,8,32,6
2020-06-11,24,13,6,24,8
