date,count
2021-02-26,255
2021-02-25,284
2021-02-24,348
2021-02-23,369
2021-02-22,377
2021-02-21,453
2021-02-20,362
2021-02-19,370
2021-02-18,378
2021-02-17,363
2021-02-16,414
2021-02-15,494
2021-02-14,673
2021-02-13,439
2021-02-12,355
2021-02-11,365
2021-02-10,358
2021-02-09,388
2021-02-08,412
2021-02-07,412
2021-02-06,409
2021-02-05,358
2021-02-04,336
2021-02-03,398
2021-02-02,393
2021-02-01,455
2021-01-31,438
2021-01-30,357
2021-01-29,349
2021-01-28,353
2021-01-27,321
2021-01-26,358
2021-01-25,389
2021-01-24,399
2021-01-23,322
2021-01-22,357
2021-01-21,351
2021-01-20,332
2021-01-19,377
2021-01-18,391
2021-01-17,352
2021-01-16,348
2021-01-15,341
2021-01-14,339
2021-01-13,339
2021-01-12,353
2021-01-11,392
2021-01-10,412
2021-01-09,339
2021-01-08,308
2021-01-07,337
2021-01-06,342
2021-01-05,357
2021-01-04,419
2021-01-03,436
2021-01-02,443
2021-01-01,452
2020-12-31,461
2020-12-30,431
2020-12-29,387
2020-12-28,467
2020-12-27,407
2020-12-26,431
2020-12-25,465
2020-12-24,485
2020-12-23,454
2020-12-22,381
2020-12-21,422
2020-12-20,451
2020-12-19,353
2020-12-18,367
2020-12-17,326
2020-12-16,315
2020-12-15,321
2020-12-14,354
2020-12-13,399
2020-12-12,310
2020-12-11,298
2020-12-10,308
2020-12-09,310
2020-12-08,358
2020-12-07,347
2020-12-06,346
2020-12-05,316
2020-12-04,278
2020-12-03,308
2020-12-02,350
2020-12-01,422
2020-11-30,347
2020-11-29,355
2020-11-28,331
2020-11-27,288
2020-11-26,254
2020-11-25,297
2020-11-24,268
2020-11-23,324
2020-11-22,373
2020-11-21,282
2020-11-20,291
2020-11-19,281
2020-11-18,281
2020-11-17,304
2020-11-16,328
2020-11-15,317
2020-11-14,285
2020-11-13,265
2020-11-12,269
2020-11-11,316
2020-11-10,252
2020-11-09,292
2020-11-08,302
2020-11-07,278
2020-11-06,241
2020-11-05,255
2020-11-04,257
2020-11-03,280
2020-11-02,323
2020-11-01,362
2020-10-31,360
2020-10-30,272
2020-10-29,272
2020-10-28,280
2020-10-27,306
2020-10-26,303
2020-10-25,306
2020-10-24,302
2020-10-23,301
2020-10-22,262
2020-10-21,274
2020-10-20,287
2020-10-19,333
2020-10-18,340
2020-10-17,287
2020-10-16,291
2020-10-15,272
2020-10-14,275
2020-10-13,277
2020-10-12,293
2020-10-11,318
2020-10-10,317
2020-10-09,253
2020-10-08,271
2020-10-07,262
2020-10-06,309
2020-10-05,315
2020-10-04,350
2020-10-03,296
2020-10-02,320
2020-10-01,288
2020-09-30,249
2020-09-29,241
2020-09-28,305
2020-09-27,308
2020-09-26,272
2020-09-25,286
2020-09-24,280
2020-09-23,267
2020-09-22,309
2020-09-21,327
2020-09-20,332
2020-09-19,276
2020-09-18,280
2020-09-17,280
2020-09-16,283
2020-09-15,300
2020-09-14,313
2020-09-13,344
2020-09-12,290
2020-09-11,248
2020-09-10,263
2020-09-09,252
2020-09-08,300
2020-09-07,324
2020-09-06,328
2020-09-05,319
2020-09-04,267
2020-09-03,284
2020-09-02,316
2020-09-01,341
2020-08-31,346
2020-08-30,338
2020-08-29,317
2020-08-28,297
2020-08-27,280
2020-08-26,326
2020-08-25,310
2020-08-24,345
2020-08-23,349
2020-08-22,323
2020-08-21,315
2020-08-20,268
2020-08-19,302
2020-08-18,256
2020-08-17,315
2020-08-16,354
2020-08-15,293
2020-08-14,310
2020-08-13,317
2020-08-12,322
2020-08-11,345
2020-08-10,348
2020-08-09,351
2020-08-08,325
2020-08-07,351
2020-08-06,344
2020-08-05,324
2020-08-04,313
2020-08-03,364
2020-08-02,367
2020-08-01,353
2020-07-31,359
2020-07-30,374
2020-07-29,361
2020-07-28,351
2020-07-27,387
2020-07-26,406
2020-07-25,365
2020-07-24,354
2020-07-23,342
2020-07-22,343
2020-07-21,377
2020-07-20,352
2020-07-19,371
2020-07-18,311
2020-07-17,316
2020-07-16,354
2020-07-15,367
2020-07-14,317
2020-07-13,354
2020-07-12,367
2020-07-11,341
2020-07-10,327
2020-07-09,338
2020-07-08,302
2020-07-07,305
