date,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,2852,2852,424,20,60
2021-02-25,2897,2897,402,29,105
2021-02-24,3082,3082,466,21,98
2021-02-23,3396,3396,537,36,157
2021-02-22,3700,3700,505,24,131
2021-02-21,3891,3891,571,28,121
2021-02-20,3953,3953,519,27,116
2021-02-19,3814,3814,608,20,94
2021-02-18,3652,3652,621,27,110
2021-02-17,3555,3555,519,19,124
2021-02-16,3867,3867,553,24,157
2021-02-15,4716,4716,558,30,117
2021-02-14,6588,6588,695,52,182
2021-02-13,4105,4105,573,25,113
2021-02-12,3356,3356,457,28,113
2021-02-11,3373,3373,500,23,96
2021-02-10,3506,3506,493,24,120
2021-02-09,3431,3431,549,19,136
2021-02-08,3758,3758,487,26,106
2021-02-07,3794,3794,473,56,128
2021-02-06,3490,3490,423,29,114
2021-02-05,3343,3343,449,18,88
2021-02-04,3231,3231,468,24,118
2021-02-03,3262,3262,409,25,102
2021-02-02,3492,3492,458,32,134
2021-02-01,3893,3893,566,40,117
2021-01-31,3862,3862,523,21,152
2021-01-30,3551,3551,434,12,65
2021-01-29,3297,3297,432,12,100
2021-01-28,3196,3196,457,18,82
2021-01-27,3116,3116,471,46,149
2021-01-26,3139,3139,439,27,112
2021-01-25,3510,3510,529,22,127
2021-01-24,3639,3639,422,19,112
2021-01-23,3400,3400,466,29,103
2021-01-22,3057,3057,454,32,111
2021-01-21,3218,3218,479,31,134
2021-01-20,3141,3141,441,25,83
2021-01-19,3129,3129,460,17,108
2021-01-18,3354,3354,541,26,131
2021-01-17,3431,3431,465,52,119
2021-01-16,3196,3196,463,37,92
2021-01-15,2956,2956,446,25,98
2021-01-14,3073,3073,458,23,108
2021-01-13,2979,2979,447,28,123
2021-01-12,3038,3038,457,22,116
2021-01-11,3260,3260,498,31,122
2021-01-10,3450,3450,463,28,91
2021-01-09,3011,3011,395,23,86
2021-01-08,2892,2892,365,20,109
2021-01-07,2913,2913,386,15,107
2021-01-06,3058,3058,438,31,151
2021-01-05,2963,2963,397,30,109
2021-01-04,3566,3566,529,26,119
2021-01-03,3742,3742,570,35,140
2021-01-02,3800,3800,524,24,119
2021-01-01,4212,4212,530,19,115
2020-12-31,4253,4253,498,37,125
2020-12-30,3650,3650,479,24,119
2020-12-29,3637,3637,469,28,120
2020-12-28,3643,3643,512,33,134
2020-12-27,3625,3625,454,17,109
2020-12-26,3715,3715,436,20,119
2020-12-25,4670,4670,504,32,112
2020-12-24,4766,4766,551,23,101
2020-12-23,3729,3729,422,36,127
2020-12-22,3714,3714,489,36,110
2020-12-21,3853,3853,521,25,162
2020-12-20,3799,3799,481,24,96
2020-12-19,3284,3284,412,28,103
2020-12-18,3302,3302,418,37,125
2020-12-17,3241,3241,405,24,118
2020-12-16,3107,3107,358,27,114
2020-12-15,3086,3086,378,19,106
2020-12-14,3221,3221,445,39,152
2020-12-13,3472,3472,409,18,91
2020-12-12,2824,2824,398,37,102
2020-12-11,2674,2674,356,22,105
2020-12-10,2825,2825,376,33,106
2020-12-09,2800,2800,359,19,88
2020-12-08,2985,2985,464,13,88
2020-12-07,3191,3191,474,18,115
2020-12-06,3299,3299,440,19,106
2020-12-05,2929,2929,375,23,92
2020-12-04,2822,2822,369,14,93
2020-12-03,2764,2764,371,16,82
2020-12-02,3043,3043,432,23,80
2020-12-01,3341,3341,488,17,98
2020-11-30,3192,3192,485,48,121
2020-11-29,3355,3355,484,33,120
2020-11-28,2974,2974,440,39,99
2020-11-27,2712,2712,375,26,98
2020-11-26,2731,2731,403,30,122
2020-11-25,2700,2700,384,23,93
2020-11-24,2531,2531,382,8,81
2020-11-23,2864,2864,403,19,120
2020-11-22,2948,2948,413,32,115
2020-11-21,2726,2726,364,14,87
2020-11-20,2599,2599,374,14,84
2020-11-19,2599,2599,307,22,71
2020-11-18,2746,2746,378,18,133
2020-11-17,2625,2625,346,18,78
2020-11-16,2884,2884,407,23,113
2020-11-15,2949,2949,442,33,101
2020-11-14,2607,2607,353,19,68
2020-11-13,2540,2540,365,23,89
2020-11-12,2556,2556,353,22,85
2020-11-11,2917,2917,391,31,91
2020-11-10,2638,2638,400,16,86
2020-11-09,2912,2912,434,23,128
2020-11-08,3009,3009,413,25,94
2020-11-07,2709,2709,385,30,93
2020-11-06,2457,2457,286,17,70
2020-11-05,2587,2587,397,26,101
2020-11-04,2547,2547,397,24,77
2020-11-03,2721,2721,355,32,61
2020-11-02,3024,3024,410,24,82
2020-11-01,3539,3539,446,24,82
2020-10-31,4094,4094,466,35,61
2020-10-30,3116,3116,356,25,83
2020-10-29,2825,2825,363,28,86
2020-10-28,2899,2899,362,39,125
2020-10-27,2998,2998,403,35,98
2020-10-26,3101,3101,422,34,102
2020-10-25,3255,3255,366,26,86
2020-10-24,2958,2958,374,12,88
2020-10-23,2803,2803,344,14,120
2020-10-22,2843,2843,396,16,111
2020-10-21,2792,2792,358,16,94
2020-10-20,3014,3014,390,19,101
2020-10-19,3191,3191,406,27,134
2020-10-18,3236,3236,378,19,106
2020-10-17,2879,2879,339,20,80
