date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,aromantic,20,9,6,20,0
2021-02-25,aromantic,16,1,4,16,0
2021-02-24,aromantic,20,9,3,20,8
2021-02-23,aromantic,28,10,5,28,9
2021-02-22,aromantic,14,7,6,14,0
2021-02-21,aromantic,21,12,7,21,1
2021-02-20,aromantic,16,12,2,16,2
2021-02-19,aromantic,9,4,3,9,1
2021-02-18,aromantic,4,3,0,4,0
2021-02-17,aromantic,3,1,2,3,1
2021-02-16,aromantic,5,5,1,5,2
2021-02-15,aromantic,12,7,3,12,0
2021-02-14,aromantic,32,13,0,32,7
2021-02-13,aromantic,9,6,0,9,1
2021-02-12,aromantic,11,6,0,11,4
2021-02-11,aromantic,12,7,1,12,0
2021-02-10,aromantic,6,3,2,6,0
2021-02-09,aromantic,6,2,0,6,0
2021-02-08,aromantic,13,6,2,13,3
2021-02-07,aromantic,4,4,3,4,2
2021-02-06,aromantic,9,9,1,9,4
2021-02-05,aromantic,7,2,1,7,0
2021-02-04,aromantic,2,1,1,2,0
2021-02-03,aromantic,8,2,7,8,0
2021-02-02,aromantic,12,6,9,12,1
2021-02-01,aromantic,7,4,0,7,0
2021-01-31,aromantic,6,3,0,6,0
2021-01-30,aromantic,9,5,1,9,0
2021-01-28,aromantic,5,5,2,5,1
2021-01-27,aromantic,10,9,1,10,3
2021-01-26,aromantic,3,3,1,3,0
2021-01-25,aromantic,3,1,2,3,0
2021-01-23,aromantic,6,4,1,6,2
2021-01-22,aromantic,2,0,0,2,0
2021-01-21,aromantic,5,3,1,5,0
2021-01-20,aromantic,6,4,0,6,1
2021-01-19,aromantic,3,1,0,3,0
2021-01-18,aromantic,5,1,0,5,3
2021-01-17,aromantic,10,8,1,10,0
2021-01-16,aromantic,14,9,1,14,1
2021-01-15,aromantic,4,1,2,4,0
2021-01-14,aromantic,4,1,0,4,0
2021-01-13,aromantic,5,2,1,5,0
2021-01-12,aromantic,6,1,0,6,1
2021-01-11,aromantic,6,4,2,6,3
2021-01-10,aromantic,11,4,0,11,0
2021-01-09,aromantic,2,1,0,2,0
2021-01-08,aromantic,6,3,0,6,1
2021-01-07,aromantic,8,4,5,8,0
2021-01-06,aromantic,10,6,2,10,3
2021-01-05,aromantic,3,1,0,3,0
2021-01-04,aromantic,7,3,2,7,1
2021-01-03,aromantic,10,7,2,10,6
2021-01-02,aromantic,1,1,0,1,0
2021-01-01,aromantic,14,8,3,14,1
2020-12-31,aromantic,12,9,2,12,1
2020-12-30,aromantic,5,3,3,5,0
2020-12-29,aromantic,6,0,0,6,0
2020-12-28,aromantic,4,0,1,4,0
2020-12-27,aromantic,8,3,2,8,0
2020-12-26,aromantic,5,3,1,5,0
2020-12-25,aromantic,7,2,1,7,1
2020-12-24,aromantic,8,5,0,8,0
2020-12-23,aromantic,9,7,4,9,0
2020-12-22,aromantic,19,10,0,19,1
2020-12-21,aromantic,1,0,0,1,0
2020-12-20,aromantic,5,2,1,5,0
2020-12-19,aromantic,6,4,0,6,2
2020-12-18,aromantic,6,1,1,6,1
2020-12-17,aromantic,7,3,0,7,0
2020-12-16,aromantic,3,0,0,3,0
2020-12-15,aromantic,5,2,0,5,2
2020-12-14,aromantic,6,3,1,6,1
2020-12-13,aromantic,3,1,1,3,0
2020-12-12,aromantic,4,1,1,4,1
2020-12-11,aromantic,10,6,2,10,1
2020-12-10,aromantic,6,4,3,6,2
2020-12-09,aromantic,5,2,1,5,1
2020-12-08,aromantic,4,3,1,4,0
2020-12-07,aromantic,4,0,2,4,1
2020-12-06,aromantic,4,4,0,4,0
2020-12-05,aromantic,1,1,0,1,0
2020-12-04,aromantic,6,4,0,6,1
2020-12-03,aromantic,5,2,1,5,0
2020-12-02,aromantic,3,2,1,3,0
2020-12-01,aromantic,10,5,1,10,1
2020-11-30,aromantic,10,6,2,10,2
2020-11-29,aromantic,2,2,0,2,1
2020-11-28,aromantic,4,3,1,4,2
2020-11-27,aromantic,9,5,1,9,1
2020-11-26,aromantic,6,2,1,6,2
2020-11-25,aromantic,7,2,0,7,0
2020-11-23,aromantic,4,0,2,4,1
2020-11-22,aromantic,5,2,3,5,1
2020-11-21,aromantic,7,4,1,7,0
2020-11-20,aromantic,3,3,1,3,0
2020-11-18,aromantic,4,2,2,4,0
2020-11-17,aromantic,1,1,0,1,0
2020-11-16,aromantic,9,6,3,9,1
2020-11-15,aromantic,6,5,0,6,0
2020-11-14,aromantic,5,4,1,5,0
2020-11-13,aromantic,4,2,0,4,0
2020-11-12,aromantic,5,3,0,5,1
2020-11-11,aromantic,8,3,0,8,0
2020-11-10,aromantic,5,4,1,5,0
2020-11-09,aromantic,4,2,0,4,0
2020-11-08,aromantic,5,2,0,5,0
2020-11-07,aromantic,1,1,0,1,0
2020-11-06,aromantic,4,3,0,4,1
2020-11-05,aromantic,10,4,0,10,1
2020-11-04,aromantic,2,2,0,2,0
2020-11-03,aromantic,1,0,0,1,0
2020-11-02,aromantic,5,4,1,5,1
2020-11-01,aromantic,9,2,1,9,0
2020-10-31,aromantic,9,2,0,9,0
2020-10-30,aromantic,7,4,3,7,0
2020-10-29,aromantic,10,7,0,10,0
2020-10-28,aromantic,6,3,1,6,2
2020-10-27,aromantic,4,2,0,4,0
2020-10-26,aromantic,6,4,0,6,2
2020-10-25,aromantic,7,6,0,7,1
2020-10-24,aromantic,1,1,0,1,0
2020-10-23,aromantic,6,1,3,6,1
2020-10-22,aromantic,3,1,0,3,0
2020-10-21,aromantic,3,1,0,3,0
2020-10-20,aromantic,10,5,1,10,0
2020-10-19,aromantic,2,1,0,2,0
2020-10-18,aromantic,9,2,3,9,0
2020-10-17,aromantic,3,2,0,3,2
2020-10-16,aromantic,4,1,0,4,0
2020-10-15,aromantic,3,3,0,3,1
2020-10-14,aromantic,3,1,0,3,0
2020-10-13,aromantic,1,0,0,1,0
2020-10-12,aromantic,7,6,2,7,2
2020-10-11,aromantic,9,6,0,9,1
2020-10-10,aromantic,5,1,1,5,3
2020-10-09,aromantic,4,3,0,4,0
2020-10-08,aromantic,5,2,0,5,0
2020-10-07,aromantic,4,1,0,4,0
2020-10-06,aromantic,7,4,0,7,0
2020-10-05,aromantic,8,1,0,8,1
2020-10-04,aromantic,8,3,0,8,1
2020-10-03,aromantic,7,3,0,7,2
2020-10-02,aromantic,6,2,0,6,0
2020-10-01,aromantic,2,1,1,2,0
2020-09-30,aromantic,6,3,3,6,1
2020-09-29,aromantic,4,2,0,4,0
2020-09-28,aromantic,3,0,2,3,0
2020-09-27,aromantic,5,2,2,5,0
2020-09-26,aromantic,4,4,0,4,1
2020-09-25,aromantic,3,1,0,3,0
2020-09-24,aromantic,1,1,1,1,0
2020-09-23,aromantic,1,0,0,1,0
2020-09-22,aromantic,4,1,0,4,0
2020-09-21,aromantic,4,4,1,4,0
2020-09-20,aromantic,3,2,1,3,0
2020-09-19,aromantic,3,2,1,3,1
2020-09-18,aromantic,2,2,0,2,0
2020-09-17,aromantic,7,4,2,7,0
2020-09-16,aromantic,2,1,1,2,0
2020-09-15,aromantic,8,6,0,8,0
2020-09-14,aromantic,6,2,0,6,0
2020-09-13,aromantic,1,1,0,1,1
2020-09-12,aromantic,7,3,0,7,0
2020-09-11,aromantic,1,0,0,1,0
2020-09-10,aromantic,5,2,1,5,0
2020-09-09,aromantic,5,3,0,5,1
2020-09-08,aromantic,5,2,0,5,1
2020-09-07,aromantic,6,2,0,6,0
2020-09-06,aromantic,5,2,1,5,0
2020-09-05,aromantic,13,4,2,13,2
2020-09-04,aromantic,6,2,2,6,0
2020-09-03,aromantic,2,2,2,2,1
2020-09-02,aromantic,9,6,2,9,0
2020-09-01,aromantic,1,1,0,1,0
2020-08-31,aromantic,2,2,0,2,1
2020-08-30,aromantic,6,4,2,6,1
2020-08-29,aromantic,10,4,1,10,0
2020-08-28,aromantic,4,0,1,4,0
2020-08-27,aromantic,4,3,0,4,0
2020-08-26,aromantic,2,1,0,2,0
2020-08-25,aromantic,2,1,1,2,0
2020-08-24,aromantic,8,6,2,8,1
2020-08-23,aromantic,8,4,2,8,0
2020-08-22,aromantic,10,3,1,10,0
2020-08-21,aromantic,1,0,0,1,0
