date,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,49,41,13,0,49
2021-02-25,75,72,25,4,75
2021-02-24,80,72,18,7,80
2021-02-23,114,104,56,9,114
2021-02-22,100,89,24,4,100
2021-02-21,98,80,37,9,98
2021-02-20,95,83,48,13,95
2021-02-19,94,81,47,4,94
2021-02-18,95,81,42,6,95
2021-02-17,89,78,28,5,89
2021-02-16,123,111,42,6,123
2021-02-15,113,96,38,10,113
2021-02-14,143,118,47,14,143
2021-02-13,94,84,33,4,94
2021-02-12,88,75,32,8,88
2021-02-11,93,76,36,2,93
2021-02-10,106,84,37,0,106
2021-02-09,95,80,38,1,95
2021-02-08,101,76,46,9,101
2021-02-07,104,86,26,9,104
2021-02-06,94,80,24,5,94
2021-02-05,73,66,17,2,73
2021-02-04,97,84,31,8,97
2021-02-03,88,78,30,3,88
2021-02-02,97,86,24,6,97
2021-02-01,100,86,30,5,100
2021-01-31,119,107,36,3,119
2021-01-30,62,51,14,1,62
2021-01-29,86,79,29,2,86
2021-01-28,71,63,25,2,71
2021-01-27,106,97,43,17,106
2021-01-26,92,76,37,7,92
2021-01-25,107,84,36,7,107
2021-01-24,86,72,25,2,86
2021-01-23,87,74,28,6,87
2021-01-22,97,82,38,9,97
2021-01-21,101,89,41,7,101
2021-01-20,74,58,28,4,74
2021-01-19,84,77,27,3,84
2021-01-18,100,90,28,9,100
2021-01-17,108,97,37,11,108
2021-01-16,72,61,37,7,72
2021-01-15,80,66,32,6,80
2021-01-14,79,72,21,9,79
2021-01-13,88,84,38,1,88
2021-01-12,100,85,37,7,100
2021-01-11,106,88,46,11,106
2021-01-10,81,66,22,6,81
2021-01-09,77,65,20,6,77
2021-01-08,88,81,20,6,88
2021-01-07,89,80,18,1,89
2021-01-06,120,108,40,16,120
2021-01-05,81,69,23,13,81
2021-01-04,90,80,34,4,90
2021-01-03,115,101,45,9,115
2021-01-02,99,88,33,3,99
2021-01-01,87,75,23,5,87
2020-12-31,107,89,43,15,107
2020-12-30,100,87,23,8,100
2020-12-29,101,88,26,3,101
2020-12-28,111,92,51,5,111
2020-12-27,91,79,31,4,91
2020-12-26,89,75,21,3,89
2020-12-25,101,84,41,10,101
2020-12-24,95,78,30,5,95
2020-12-23,104,95,36,5,104
2020-12-22,97,81,27,12,97
2020-12-21,112,102,41,9,112
2020-12-20,74,71,27,4,74
2020-12-19,91,79,32,5,91
2020-12-18,105,92,33,11,105
2020-12-17,96,86,40,5,96
2020-12-16,89,77,24,5,89
2020-12-15,92,79,31,8,92
2020-12-14,104,88,31,8,104
2020-12-13,83,70,24,4,83
2020-12-12,71,56,26,14,71
2020-12-11,72,62,23,2,72
2020-12-10,77,65,35,5,77
2020-12-09,81,65,26,2,81
2020-12-08,87,66,26,0,87
2020-12-07,92,75,41,4,92
2020-12-06,97,83,34,6,97
2020-12-05,71,62,21,2,71
2020-12-04,81,66,23,4,81
2020-12-03,65,51,26,3,65
2020-12-02,82,65,28,3,82
2020-12-01,79,67,27,4,79
2020-11-30,95,81,27,8,95
2020-11-29,106,94,38,8,106
2020-11-28,86,74,39,8,86
2020-11-27,76,71,29,4,76
2020-11-26,81,72,19,7,81
2020-11-25,75,68,23,4,75
2020-11-24,78,72,24,1,78
2020-11-23,86,77,30,4,86
2020-11-22,90,81,37,12,90
2020-11-21,64,60,17,0,64
2020-11-20,56,53,20,4,56
2020-11-19,59,47,16,2,59
2020-11-18,99,90,26,5,99
2020-11-17,72,56,20,0,72
2020-11-16,89,78,36,5,89
2020-11-15,74,65,36,5,74
2020-11-14,57,51,17,3,57
2020-11-13,70,64,19,3,70
2020-11-12,82,71,26,4,82
2020-11-11,74,66,19,1,74
2020-11-10,73,64,23,6,73
2020-11-09,93,83,34,8,93
2020-11-08,81,70,29,5,81
2020-11-07,78,68,32,8,78
2020-11-06,64,50,17,3,64
2020-11-05,77,67,30,3,77
2020-11-04,61,52,28,7,61
2020-11-03,60,45,21,11,60
2020-11-02,62,56,25,3,62
2020-11-01,74,69,24,1,74
2020-10-31,59,50,23,5,59
2020-10-30,58,51,15,1,58
2020-10-29,62,53,25,3,62
2020-10-28,97,85,22,10,97
2020-10-27,69,62,32,3,69
2020-10-26,68,63,28,12,68
2020-10-25,76,64,18,6,76
2020-10-24,74,60,29,1,74
2020-10-23,88,80,40,2,88
2020-10-22,96,91,28,2,96
2020-10-21,61,55,19,4,61
2020-10-20,93,71,26,2,93
2020-10-19,100,83,32,8,100
2020-10-18,84,76,34,3,84
2020-10-17,74,63,23,3,74
2020-10-16,63,57,23,0,63
2020-10-15,82,79,26,4,82
2020-10-14,75,69,27,8,75
2020-10-13,63,55,18,11,63
2020-10-12,102,83,36,8,102
2020-10-11,90,81,38,9,90
2020-10-10,77,60,30,6,77
2020-10-09,88,67,36,4,88
2020-10-08,48,40,20,0,48
2020-10-07,66,61,21,1,66
2020-10-06,67,64,9,3,67
2020-10-05,90,70,44,2,90
2020-10-04,86,76,38,3,86
2020-10-03,86,79,51,4,86
2020-10-02,75,68,27,7,75
2020-10-01,85,72,30,9,85
2020-09-30,83,66,32,5,83
2020-09-29,69,52,26,4,69
2020-09-28,73,60,30,3,73
