date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2021-02-26,bisexual,49,41,13,0,49
2021-02-25,bisexual,73,70,24,3,73
2021-02-24,bisexual,76,69,18,5,76
2021-02-23,bisexual,110,100,54,8,110
2021-02-22,bisexual,96,85,23,3,96
2021-02-21,bisexual,91,75,33,7,91
2021-02-20,bisexual,90,78,44,11,90
2021-02-19,bisexual,89,76,43,3,89
2021-02-18,bisexual,90,76,40,6,90
2021-02-17,bisexual,88,78,28,5,88
2021-02-16,bisexual,117,105,40,6,117
2021-02-15,bisexual,112,96,37,10,112
2021-02-14,bisexual,140,117,45,13,140
2021-02-13,bisexual,92,82,32,4,92
2021-02-12,bisexual,85,73,30,7,85
2021-02-11,bisexual,85,68,34,2,85
2021-02-10,bisexual,103,82,35,0,103
2021-02-09,bisexual,93,78,37,1,93
2021-02-08,bisexual,96,72,46,6,96
2021-02-07,bisexual,100,83,25,8,100
2021-02-06,bisexual,90,76,22,5,90
2021-02-05,bisexual,73,66,17,2,73
2021-02-04,bisexual,94,82,30,8,94
2021-02-03,bisexual,86,76,30,2,86
2021-02-02,bisexual,93,85,21,5,93
2021-02-01,bisexual,96,83,29,4,96
2021-01-31,bisexual,112,100,32,2,112
2021-01-30,bisexual,62,51,14,1,62
2021-01-29,bisexual,81,75,29,2,81
2021-01-28,bisexual,70,62,25,2,70
2021-01-27,bisexual,103,95,41,16,103
2021-01-26,bisexual,90,74,37,7,90
2021-01-25,bisexual,103,81,32,5,103
2021-01-24,bisexual,84,70,24,2,84
2021-01-23,bisexual,85,72,27,6,85
2021-01-22,bisexual,96,81,37,8,96
2021-01-21,bisexual,98,86,40,7,98
2021-01-20,bisexual,74,58,28,4,74
2021-01-19,bisexual,83,76,27,2,83
2021-01-18,bisexual,99,90,28,9,99
2021-01-17,bisexual,106,95,36,10,106
2021-01-16,bisexual,66,57,36,6,66
2021-01-15,bisexual,79,65,31,6,79
2021-01-14,bisexual,77,71,19,8,77
2021-01-13,bisexual,86,82,36,1,86
2021-01-12,bisexual,99,84,37,7,99
2021-01-11,bisexual,101,84,44,11,101
2021-01-10,bisexual,79,65,21,5,79
2021-01-09,bisexual,75,63,19,5,75
2021-01-08,bisexual,84,77,19,5,84
2021-01-07,bisexual,87,79,18,1,87
2021-01-06,bisexual,115,104,38,14,115
2021-01-05,bisexual,77,65,21,9,77
2021-01-04,bisexual,86,76,33,4,86
2021-01-03,bisexual,112,99,43,8,112
2021-01-02,bisexual,99,88,33,3,99
2021-01-01,bisexual,84,72,23,5,84
2020-12-31,bisexual,103,85,40,15,103
2020-12-30,bisexual,99,86,22,8,99
2020-12-29,bisexual,99,86,25,3,99
2020-12-28,bisexual,106,88,49,5,106
2020-12-27,bisexual,89,79,30,4,89
2020-12-26,bisexual,86,73,20,3,86
2020-12-25,bisexual,98,83,39,9,98
2020-12-24,bisexual,92,75,27,4,92
2020-12-23,bisexual,103,94,36,4,103
2020-12-22,bisexual,95,79,26,11,95
2020-12-21,bisexual,109,99,40,9,109
2020-12-20,bisexual,72,69,27,4,72
2020-12-19,bisexual,91,79,32,5,91
2020-12-18,bisexual,103,90,33,11,103
2020-12-17,bisexual,93,84,38,4,93
2020-12-16,bisexual,86,74,23,5,86
2020-12-15,bisexual,90,77,30,8,90
2020-12-14,bisexual,102,88,31,7,102
2020-12-13,bisexual,82,69,23,4,82
2020-12-12,bisexual,68,54,25,13,68
2020-12-11,bisexual,70,60,22,1,70
2020-12-10,bisexual,72,64,32,5,72
2020-12-09,bisexual,78,63,25,0,78
2020-12-08,bisexual,86,66,26,0,86
2020-12-07,bisexual,90,73,40,3,90
2020-12-06,bisexual,93,80,33,5,93
2020-12-05,bisexual,70,61,20,2,70
2020-12-04,bisexual,80,65,23,4,80
2020-12-03,bisexual,65,51,26,3,65
2020-12-02,bisexual,81,64,28,3,81
2020-12-01,bisexual,76,65,27,2,76
2020-11-30,bisexual,93,80,25,8,93
2020-11-29,bisexual,102,91,35,7,102
2020-11-28,bisexual,84,72,38,8,84
2020-11-27,bisexual,75,70,29,4,75
2020-11-26,bisexual,78,70,19,6,78
2020-11-25,bisexual,74,68,23,4,74
2020-11-24,bisexual,73,68,23,0,73
2020-11-23,bisexual,85,76,30,4,85
2020-11-22,bisexual,87,79,35,11,87
2020-11-21,bisexual,62,58,16,0,62
2020-11-20,bisexual,54,51,19,3,54
2020-11-19,bisexual,59,47,16,2,59
2020-11-18,bisexual,93,84,25,3,93
2020-11-17,bisexual,69,54,20,0,69
2020-11-16,bisexual,85,74,33,5,85
2020-11-15,bisexual,72,63,34,5,72
2020-11-14,bisexual,57,51,17,3,57
2020-11-13,bisexual,68,62,18,2,68
2020-11-12,bisexual,79,69,26,3,79
2020-11-11,bisexual,74,66,19,1,74
2020-11-10,bisexual,68,60,22,5,68
2020-11-09,bisexual,90,80,33,8,90
2020-11-08,bisexual,79,68,29,4,79
2020-11-07,bisexual,77,67,31,8,77
2020-11-06,bisexual,63,50,17,2,63
2020-11-05,bisexual,74,65,30,3,74
2020-11-04,bisexual,57,50,26,5,57
2020-11-03,bisexual,56,42,19,8,56
2020-11-02,bisexual,61,55,24,2,61
2020-11-01,bisexual,74,69,24,1,74
2020-10-31,bisexual,58,49,22,4,58
2020-10-30,bisexual,56,49,14,0,56
2020-10-29,bisexual,61,52,25,3,61
2020-10-28,bisexual,96,84,22,10,96
2020-10-27,bisexual,68,62,32,2,68
2020-10-26,bisexual,65,60,27,10,65
2020-10-25,bisexual,72,61,18,5,72
2020-10-24,bisexual,72,59,28,1,72
2020-10-23,bisexual,85,77,38,2,85
2020-10-22,bisexual,94,89,28,1,94
2020-10-21,bisexual,61,55,19,4,61
2020-10-20,bisexual,90,68,23,1,90
2020-10-19,bisexual,99,83,31,8,99
2020-10-18,bisexual,83,75,34,2,83
2020-10-17,bisexual,71,60,21,3,71
2020-10-16,bisexual,61,55,21,0,61
2020-10-15,bisexual,80,77,25,3,80
2020-10-14,bisexual,75,69,27,8,75
2020-10-13,bisexual,61,53,17,9,61
2020-10-12,bisexual,100,82,35,7,100
2020-10-11,bisexual,87,78,37,7,87
2020-10-10,bisexual,74,58,29,4,74
2020-10-09,bisexual,86,66,35,3,86
2020-10-08,bisexual,47,39,20,0,47
2020-10-07,bisexual,63,58,20,0,63
2020-10-06,bisexual,67,64,9,3,67
2020-10-05,bisexual,88,68,43,2,88
2020-10-04,bisexual,84,74,38,3,84
2020-10-03,bisexual,85,79,51,3,85
2020-10-02,bisexual,73,66,26,7,73
2020-10-01,bisexual,81,70,30,8,81
2020-09-30,bisexual,82,65,31,5,82
2020-09-29,bisexual,69,52,26,4,69
2020-09-28,bisexual,70,57,30,3,70
2020-09-27,bisexual,69,53,24,2,69
2020-09-26,bisexual,52,43,15,8,52
2020-09-25,bisexual,65,58,17,5,65
2020-09-24,bisexual,81,68,32,8,81
2020-09-23,bisexual,73,59,20,4,73
2020-09-22,bisexual,63,57,26,2,63
2020-09-21,bisexual,53,48,10,1,53
2020-09-20,bisexual,69,57,29,2,69
2020-09-19,bisexual,67,59,24,7,67
2020-09-18,bisexual,52,45,10,1,52
2020-09-17,bisexual,83,67,36,1,83
2020-09-16,bisexual,52,44,21,2,52
