date,tag,count
2021-02-26,slow burn,112
2021-02-25,slow burn,119
2021-02-24,slow burn,156
2021-02-23,slow burn,168
2021-02-22,slow burn,159
2021-02-21,slow burn,204
2021-02-20,slow burn,187
2021-02-19,slow burn,162
2021-02-18,slow burn,168
2021-02-17,slow burn,157
2021-02-16,slow burn,184
2021-02-15,slow burn,168
2021-02-14,slow burn,196
2021-02-13,slow burn,158
2021-02-12,slow burn,155
2021-02-11,slow burn,157
2021-02-10,slow burn,174
2021-02-09,slow burn,190
2021-02-08,slow burn,163
2021-02-07,slow burn,166
2021-02-06,slow burn,177
2021-02-05,slow burn,152
2021-02-04,slow burn,157
2021-02-03,slow burn,181
2021-02-02,slow burn,183
2021-02-01,slow burn,172
2021-01-31,slow burn,183
2021-01-30,slow burn,144
2021-01-29,slow burn,133
2021-01-28,slow burn,172
2021-01-27,slow burn,140
2021-01-26,slow burn,152
2021-01-25,slow burn,162
2021-01-24,slow burn,162
2021-01-23,slow burn,152
2021-01-22,slow burn,137
2021-01-21,slow burn,161
2021-01-20,slow burn,145
2021-01-19,slow burn,175
2021-01-18,slow burn,185
2021-01-17,slow burn,157
2021-01-16,slow burn,157
2021-01-15,slow burn,171
2021-01-14,slow burn,162
2021-01-13,slow burn,168
2021-01-12,slow burn,162
2021-01-11,slow burn,161
2021-01-10,slow burn,183
2021-01-09,slow burn,142
2021-01-08,slow burn,134
2021-01-07,slow burn,161
2021-01-06,slow burn,155
2021-01-05,slow burn,156
2021-01-04,slow burn,172
2021-01-03,slow burn,200
2021-01-02,slow burn,197
2021-01-01,slow burn,176
2020-12-31,slow burn,170
2020-12-30,slow burn,174
2020-12-29,slow burn,157
2020-12-28,slow burn,179
2020-12-27,slow burn,155
2020-12-26,slow burn,146
2020-12-25,slow burn,118
2020-12-24,slow burn,144
2020-12-23,slow burn,159
2020-12-22,slow burn,140
2020-12-21,slow burn,159
2020-12-20,slow burn,152
2020-12-19,slow burn,135
2020-12-18,slow burn,129
2020-12-17,slow burn,120
2020-12-16,slow burn,131
2020-12-15,slow burn,123
2020-12-14,slow burn,146
2020-12-13,slow burn,148
2020-12-12,slow burn,119
2020-12-11,slow burn,116
2020-12-10,slow burn,126
2020-12-09,slow burn,112
2020-12-08,slow burn,135
2020-12-07,slow burn,138
2020-12-06,slow burn,120
2020-12-05,slow burn,110
2020-12-04,slow burn,118
2020-12-03,slow burn,110
2020-12-02,slow burn,137
2020-12-01,slow burn,152
2020-11-30,slow burn,154
2020-11-29,slow burn,155
2020-11-28,slow burn,136
2020-11-27,slow burn,122
2020-11-26,slow burn,118
2020-11-25,slow burn,114
2020-11-24,slow burn,115
2020-11-23,slow burn,143
2020-11-22,slow burn,167
2020-11-21,slow burn,107
2020-11-20,slow burn,130
2020-11-19,slow burn,108
2020-11-18,slow burn,123
2020-11-17,slow burn,117
2020-11-16,slow burn,141
2020-11-15,slow burn,124
2020-11-14,slow burn,119
2020-11-13,slow burn,112
2020-11-12,slow burn,109
2020-11-11,slow burn,115
2020-11-10,slow burn,100
2020-11-09,slow burn,122
2020-11-08,slow burn,127
2020-11-07,slow burn,115
2020-11-06,slow burn,109
2020-11-05,slow burn,100
2020-11-04,slow burn,98
2020-11-03,slow burn,115
2020-11-02,slow burn,128
2020-11-01,slow burn,118
2020-10-31,slow burn,131
2020-10-30,slow burn,110
2020-10-29,slow burn,107
2020-10-28,slow burn,95
2020-10-27,slow burn,112
2020-10-26,slow burn,119
2020-10-25,slow burn,108
2020-10-24,slow burn,111
2020-10-23,slow burn,120
2020-10-22,slow burn,102
2020-10-21,slow burn,119
2020-10-20,slow burn,119
2020-10-19,slow burn,137
2020-10-18,slow burn,143
2020-10-17,slow burn,102
2020-10-16,slow burn,109
2020-10-15,slow burn,94
2020-10-14,slow burn,105
2020-10-13,slow burn,120
2020-10-12,slow burn,109
2020-10-11,slow burn,123
2020-10-10,slow burn,132
2020-10-09,slow burn,88
2020-10-08,slow burn,109
2020-10-07,slow burn,104
2020-10-06,slow burn,115
2020-10-05,slow burn,116
2020-10-04,slow burn,145
2020-10-03,slow burn,98
2020-10-02,slow burn,120
2020-10-01,slow burn,108
2020-09-30,slow burn,107
2020-09-29,slow burn,101
2020-09-28,slow burn,139
2020-09-27,slow burn,138
2020-09-26,slow burn,124
2020-09-25,slow burn,108
2020-09-24,slow burn,117
2020-09-23,slow burn,98
2020-09-22,slow burn,124
2020-09-21,slow burn,124
2020-09-20,slow burn,128
2020-09-19,slow burn,107
2020-09-18,slow burn,111
2020-09-17,slow burn,124
2020-09-16,slow burn,109
2020-09-15,slow burn,128
2020-09-14,slow burn,110
2020-09-13,slow burn,145
2020-09-12,slow burn,118
2020-09-11,slow burn,109
2020-09-10,slow burn,116
2020-09-09,slow burn,110
2020-09-08,slow burn,117
2020-09-07,slow burn,122
2020-09-06,slow burn,123
2020-09-05,slow burn,120
2020-09-04,slow burn,116
2020-09-03,slow burn,100
2020-09-02,slow burn,128
2020-09-01,slow burn,132
2020-08-31,slow burn,135
2020-08-30,slow burn,128
2020-08-29,slow burn,116
2020-08-28,slow burn,120
2020-08-27,slow burn,118
2020-08-26,slow burn,143
2020-08-25,slow burn,125
2020-08-24,slow burn,127
2020-08-23,slow burn,130
2020-08-22,slow burn,124
2020-08-21,slow burn,134
2020-08-20,slow burn,122
2020-08-19,slow burn,141
2020-08-18,slow burn,103
2020-08-17,slow burn,141
2020-08-16,slow burn,147
2020-08-15,slow burn,122
2020-08-14,slow burn,148
2020-08-13,slow burn,141
2020-08-12,slow burn,131
2020-08-11,slow burn,136
2020-08-10,slow burn,142
2020-08-09,slow burn,148
2020-08-08,slow burn,116
2020-08-07,slow burn,136
2020-08-06,slow burn,135
2020-08-05,slow burn,128
2020-08-04,slow burn,110
2020-08-03,slow burn,159
2020-08-02,slow burn,132
2020-08-01,slow burn,125
2020-07-31,slow burn,134
2020-07-30,slow burn,155
2020-07-29,slow burn,155
2020-07-28,slow burn,151
2020-07-27,slow burn,168
2020-07-26,slow burn,179
2020-07-25,slow burn,149
2020-07-24,slow burn,151
2020-07-23,slow burn,147
2020-07-22,slow burn,157
2020-07-21,slow burn,167
2020-07-20,slow burn,144
2020-07-19,slow burn,152
2020-07-18,slow burn,115
2020-07-17,slow burn,127
2020-07-16,slow burn,160
2020-07-15,slow burn,157
2020-07-14,slow burn,132
2020-07-13,slow burn,156
2020-07-12,slow burn,151
2020-07-11,slow burn,147
2020-07-10,slow burn,153
2020-07-09,slow burn,145
2020-07-08,slow burn,129
2020-07-07,slow burn,139
