date,count
2021-02-26,4844
2021-02-25,4795
2021-02-24,5073
2021-02-23,5479
2021-02-22,6019
2021-02-21,6150
2021-02-20,6222
2021-02-19,5999
2021-02-18,5698
2021-02-17,5695
2021-02-16,6174
2021-02-15,7416
2021-02-14,9699
2021-02-13,6706
2021-02-12,5692
2021-02-11,5507
2021-02-10,5687
2021-02-09,5432
2021-02-08,6036
2021-02-07,5980
2021-02-06,5792
2021-02-05,5519
2021-02-04,5245
2021-02-03,5288
2021-02-02,5599
2021-02-01,6101
2021-01-31,6199
2021-01-30,5855
2021-01-29,5395
2021-01-28,5141
2021-01-27,5165
2021-01-26,5161
2021-01-25,5636
2021-01-24,5713
2021-01-23,5355
2021-01-22,5012
2021-01-21,5038
2021-01-20,5017
2021-01-19,5178
2021-01-18,5406
2021-01-17,5406
2021-01-16,5009
2021-01-15,4890
2021-01-14,4890
2021-01-13,4789
2021-01-12,4838
2021-01-11,5278
2021-01-10,5534
2021-01-09,4885
2021-01-08,4691
2021-01-07,4772
2021-01-06,5091
2021-01-05,4925
2021-01-04,5671
2021-01-03,5860
2021-01-02,6049
2021-01-01,6631
2020-12-31,6775
2020-12-30,5824
2020-12-29,5636
2020-12-28,5684
2020-12-27,5777
2020-12-26,5795
2020-12-25,7184
2020-12-24,7334
2020-12-23,6015
2020-12-22,5824
2020-12-21,6068
2020-12-20,5996
2020-12-19,5422
2020-12-18,5617
2020-12-17,5194
2020-12-16,4999
2020-12-15,5058
2020-12-14,5101
2020-12-13,5369
2020-12-12,4624
2020-12-11,4343
2020-12-10,4398
2020-12-09,4449
2020-12-08,4739
2020-12-07,5006
2020-12-06,5242
2020-12-05,4688
2020-12-04,4481
2020-12-03,4344
2020-12-02,4713
2020-12-01,5262
2020-11-30,4991
2020-11-29,5183
2020-11-28,4552
2020-11-27,4349
2020-11-26,4356
2020-11-25,4290
2020-11-24,4096
2020-11-23,4638
2020-11-22,4698
2020-11-21,4289
2020-11-20,4153
2020-11-19,4124
2020-11-18,4344
2020-11-17,4218
2020-11-16,4645
2020-11-15,4698
2020-11-14,4280
2020-11-13,3966
2020-11-12,4239
2020-11-11,4460
2020-11-10,4326
2020-11-09,4662
2020-11-08,4894
2020-11-07,4358
2020-11-06,4012
2020-11-05,4181
2020-11-04,4085
2020-11-03,4513
2020-11-02,4929
2020-11-01,5787
2020-10-31,6625
2020-10-30,4950
2020-10-29,4610
2020-10-28,4586
2020-10-27,4801
2020-10-26,5097
2020-10-25,5349
2020-10-24,4744
2020-10-23,4476
2020-10-22,4535
2020-10-21,4626
2020-10-20,4875
2020-10-19,5068
2020-10-18,5267
2020-10-17,4791
2020-10-16,4757
2020-10-15,4578
2020-10-14,4560
2020-10-13,4578
2020-10-12,5022
2020-10-11,5240
2020-10-10,4825
2020-10-09,4602
2020-10-08,4565
2020-10-07,4833
2020-10-06,5095
2020-10-05,5323
2020-10-04,5966
2020-10-03,5340
2020-10-02,5699
2020-10-01,5665
2020-09-30,4356
2020-09-29,4028
2020-09-28,4241
2020-09-27,4485
2020-09-26,4190
2020-09-25,4027
2020-09-24,3845
2020-09-23,4152
2020-09-22,4314
2020-09-21,4420
2020-09-20,4676
2020-09-19,4292
2020-09-18,4275
2020-09-17,3941
2020-09-16,4092
2020-09-15,4130
2020-09-14,4365
2020-09-13,5052
2020-09-12,4557
2020-09-11,4145
2020-09-10,3870
2020-09-09,4001
2020-09-08,4228
2020-09-07,4603
2020-09-06,4945
2020-09-05,4622
2020-09-04,4277
2020-09-03,4172
2020-09-02,4375
2020-09-01,4580
2020-08-31,5244
2020-08-30,4922
2020-08-29,4393
2020-08-28,4407
2020-08-27,4331
2020-08-26,4221
2020-08-25,4986
2020-08-24,5023
2020-08-23,5085
2020-08-22,4565
2020-08-21,4296
2020-08-20,4315
2020-08-19,4517
2020-08-18,4378
2020-08-17,4785
2020-08-16,5009
2020-08-15,4835
2020-08-14,4564
2020-08-13,4465
2020-08-12,4610
2020-08-11,4655
2020-08-10,4893
2020-08-09,4948
2020-08-08,4634
2020-08-07,4679
2020-08-06,4448
2020-08-05,4930
2020-08-04,4985
2020-08-03,5221
2020-08-02,5017
2020-08-01,5158
2020-07-31,4816
2020-07-30,4926
2020-07-29,4755
2020-07-28,5144
2020-07-27,5379
2020-07-26,5403
2020-07-25,5164
2020-07-24,5348
2020-07-23,5313
2020-07-22,5202
2020-07-21,5260
2020-07-20,5397
2020-07-19,5542
2020-07-18,5983
2020-07-17,6490
2020-07-16,7360
2020-07-15,5385
2020-07-14,5317
2020-07-13,4961
2020-07-12,5153
2020-07-11,4582
2020-07-10,4680
2020-07-09,4545
2020-07-08,4441
2020-07-07,4737
2020-07-06,4896
2020-07-05,5150
2020-07-04,4860
2020-07-03,4527
2020-07-02,4143
2020-07-01,4366
2020-06-30,4389
2020-06-29,4401
2020-06-28,4552
2020-06-27,4246
2020-06-26,4106
2020-06-25,4023
2020-06-24,4186
2020-06-23,4322
2020-06-22,4610
2020-06-21,4722
2020-06-20,4223
2020-06-19,4187
2020-06-18,4068
2020-06-17,4219
2020-06-16,4322
2020-06-15,4438
2020-06-14,4719
2020-06-13,4554
2020-06-12,4616
2020-06-11,4328
2020-06-10,4595
2020-06-09,4426
2020-06-08,4598
2020-06-07,4474
2020-06-06,4296
2020-06-05,4106
2020-06-04,3842
2020-06-03,3836
2020-06-02,3927
2020-06-01,4444
2020-05-31,4401
2020-05-30,4023
2020-05-29,4024
2020-05-28,4231
2020-05-27,4253
2020-05-26,4342
2020-05-25,4472
2020-05-24,4401
2020-05-23,4125
2020-05-22,4013
2020-05-21,4127
2020-05-20,4321
2020-05-19,4362
2020-05-18,4620
2020-05-17,4649
2020-05-16,4345
2020-05-15,4210
2020-05-14,4316
2020-05-13,4372
2020-05-12,4415
2020-05-11,4519
2020-05-10,4576
2020-05-09,4318
2020-05-08,4281
2020-05-07,4343
2020-05-06,4344
2020-05-05,4450
2020-05-04,4715
2020-05-03,4798
2020-05-02,4550
2020-05-01,4567
2020-04-30,4480
2020-04-29,4258
2020-04-28,4435
2020-04-27,4536
2020-04-26,4720
2020-04-25,4329
2020-04-24,4280
2020-04-23,4007
2020-04-22,4165
2020-04-21,4145
2020-04-20,4241
2020-04-19,4646
2020-04-18,4285
2020-04-17,4090
2020-04-16,4071
2020-04-15,4136
2020-04-14,4357
2020-04-13,4683
2020-04-12,4633
2020-04-11,4387
2020-04-10,4096
2020-04-09,4088
2020-04-08,3891
2020-04-07,4070
2020-04-06,4118
2020-04-05,4341
2020-04-04,4057
2020-04-03,3959
2020-04-02,4095
2020-04-01,4328
2020-03-31,4223
2020-03-30,4206
2020-03-29,4596
2020-03-28,3985
2020-03-27,4008
2020-03-26,3939
2020-03-25,4041
2020-03-24,3986
2020-03-23,4303
2020-03-22,4370
2020-03-21,3943
2020-03-20,3808
2020-03-19,3771
2020-03-18,3540
2020-03-17,3365
2020-03-16,3675
2020-03-15,3830
2020-03-14,3398
2020-03-13,2893
2020-03-12,2973
2020-03-11,2998
2020-03-10,2937
2020-03-09,3204
2020-03-08,3736
2020-03-07,3304
2020-03-06,3022
2020-03-05,3144
2020-03-04,3116
2020-03-03,3326
2020-03-02,3421
2020-03-01,4017
2020-02-29,4489
2020-02-28,3722
2020-02-27,3716
2020-02-26,3485
2020-02-25,3549
2020-02-24,3906
2020-02-23,4317
2020-02-22,3793
2020-02-21,3543
2020-02-20,3682
2020-02-19,3495
2020-02-18,3538
2020-02-17,4067
2020-02-16,4575
2020-02-15,4745
2020-02-14,6154
2020-02-13,4314
2020-02-12,3631
2020-02-11,3610
2020-02-10,3883
2020-02-09,4274
2020-02-08,3921
2020-02-07,3540
2020-02-06,3325
2020-02-05,3344
2020-02-04,3565
2020-02-03,3906
2020-02-02,4544
2020-02-01,4537
2020-01-31,3601
2020-01-30,3464
2020-01-29,3516
2020-01-28,3456
2020-01-27,3722
2020-01-26,4281
2020-01-25,3749
2020-01-24,3622
2020-01-23,3216
2020-01-22,3219
2020-01-21,3277
2020-01-20,3736
2020-01-19,3882
2020-01-18,3259
2020-01-17,2982
2020-01-16,2879
2020-01-15,3159
2020-01-14,3154
2020-01-13,3467
2020-01-12,3916
2020-01-11,3576
2020-01-10,3130
2020-01-09,3042
2020-01-08,3265
2020-01-07,3374
